
# Efinity Pinout Report
# Version: 2021.2.323.2.18
# Date: 2026-08-28 10:46

# Copyright (C) 2017 - 2021 Efinix Inc. All rights reserved.

# Device: T35F324
# Package status: final
# Project: T35_FRAMEWORK
# Configuration mode: active (x4)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,MIPI1_TXDN1,,,3B,,,,
A3,MIPI1_TXDN0,,,3B,,,,
A4,MIPI0_TXDP4,,,3A,,,,
A5,MIPI0_TXDP3,,,3A,,,,
A6,MIPI0_TXDN0,,,3A,,,,
A7,MIPI0_TXDP1,,,3A,,,,
A8,MIPI0_TXDN2,,,3A,,,,
A9,GPIOT_RXN25_CLKN2,I2CSCL_0.RXN,Input,2C,1.8 V,1.8 V LVCMOS,weak pullup,User IO/PLL_CLKIN
A10,GPIOT_RXP24_EXTFB2,I2CSDA_0.RXP,Bidirectional,2C,1.8 V,1.8 V LVCMOS,weak pullup,User IO/PLL_EXTFB
A11,GPIOT_RXP23,CMOS_TECEN.RXP,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
A12,GPIOT_RXP22,CMOS_CTL4.RXP,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
A13,GPIOT_RXN21,CMOS_CTL3.RXN,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
A14,GPIOT_RXN20,CMOS_XCLR.RXN,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
A15,GPIOT_RXN19,CMOS_XVS.RXN,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
A16,GPIOT_RXN18,CMOS_XTRIG.RXN,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
A17,GPIOT_RXP17_CLKP1,,,2B,3.3 V,,,User IO/PLL_CLKIN
A18,GND,,Power,,,,,Ground
B1,MIPI1_TXDN2,,,3B,,,,
B2,MIPI1_TXDP1,,,3B,,,,
B3,MIPI1_TXDP0,,,3B,,,,
B4,MIPI0_TXDN4,,,3A,,,,
B5,MIPI0_TXDN3,,,3A,,,,
B6,MIPI0_TXDP0,,,3A,,,,
B7,MIPI0_TXDN1,,,3A,,,,
B8,MIPI0_TXDP2,,,3A,,,,
B9,GPIOT_RXP25_CLKP2,,,2C,1.8 V,,,User IO/PLL_CLKIN
B10,GPIOT_RXN24_EXTFB2,CMOS_AMPV.RXN,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO/PLL_EXTFB
B11,GPIOT_RXN23,CMOS_CTL5.RXN,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
B12,GPIOT_RXN22,CMOS_CTL1.RXN,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
B13,GPIOT_RXP21,CMOS_XMASTER.RXP,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
B14,GPIOT_RXP20,CMOS_XHS.RXP,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
B15,GPIOT_RXP19,CMOS_INCK.RXP,Output,2C,1.8 V,1.8 V LVCMOS,,User IO
B16,GPIOT_RXP18,CMOS_CTL2.RXP,Bidirectional,2C,1.8 V,1.8 V LVCMOS,,User IO
B17,GPIOT_RXN17_CLKN1,,,2B,3.3 V,,,User IO/PLL_CLKIN
B18,GPIOT_RXP16_EXTFB1,,,2B,3.3 V,,,User IO/PLL_EXTFB
C1,MIPI1_TXDP2,,,3B,,,,
C2,VCC12A_MIPI1_TX,,Power,3B,,,,1.2 V MIPI TX Power
C3,GNDA_MIPI,,Power,,,,,MIPI Ground
C4,VCC25A_MIPI1,,Power,3B,,,,2.5 V MIPI Power
C5,VCC12A_MIPI0_RX,,Power,3A,,,,1.2 V MIPI RX Power
C6,VCC12A_MIPI0_TX,,Power,3A,,,,1.2 V MIPI TX Power
C7,GNDA_MIPI,,Power,,,,,MIPI Ground
C8,GNDA_MIPI,,Power,,,,,MIPI Ground
C9,GPIOR_118_PLLIN0,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/PLL_CLKIN
C10,VCCIO2C,,Power,2C,1.8 V,,,VCCIO Power
C11,GPIOT_RXN02,optic_trigout.RXN,Output,2A,1.8 V,1.8 V LVCMOS,,User IO
C12,GND,,Power,,,,,Ground
C13,GPIOT_RXN00,MUX_GPIO1.RXN,Bidirectional,2A,1.8 V,1.8 V LVCMOS,,User IO
C14,VCCIO2C,,Power,2C,1.8 V,,,VCCIO Power
C15,GND,,Power,,,,,Ground
C16,GPIOT_RXP01,UART_FPGATX.RXP,Output,2A,1.8 V,1.8 V LVCMOS,,User IO
C17,VCCIO2B,,Power,2B,3.3 V,,,VCCIO Power
C18,GPIOT_RXN16_EXTFB1,,,2B,3.3 V,,,User IO/PLL_EXTFB
D1,MIPI1_TXDN4,,,3B,,,,
D2,MIPI1_TXDP3,,,3B,,,,
D3,MIPI1_RXDP4,mipi_rx_inst1.LN1P,,3B,,,,
D4,MIPI1_RXDP0,mipi_rx_inst1.LN3P,,3B,,,,
D5,MIPI0_RXDN0,,,3A,,,,
D6,MIPI0_RXDN3,,,3A,,,,
D7,VCC25A_MIPI0,,Power,3A,,,,2.5 V MIPI Power
D8,MIPI0_RXDN1,,,3A,,,,
D9,GPIOR_119_PLLIN1,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/PLL_CLKIN
D10,GND,,Power,,,,,Ground
D11,GPIOT_RXP02,optic_trigin.RXP,Input,2A,1.8 V,1.8 V LVCMOS,weak pullup,User IO
D12,GPIOT_RXN05,TP_GPIO5.RXN,Bidirectional,2A,1.8 V,1.8 V LVCMOS,,User IO
D13,GPIOT_RXP00,fx3_resetn.RXP,Output,2A,1.8 V,1.8 V LVCMOS,,User IO
D14,GPIOT_RXP04,MUX_GPIO4.RXP,Bidirectional,2A,1.8 V,1.8 V LVCMOS,,User IO
D15,GPIOT_RXP03,USB_RESET.RXP,Input,2A,1.8 V,1.8 V LVCMOS,weak pullup,User IO
D16,GPIOT_RXN01,UART_FPGARX.RXN,Input,2A,1.8 V,1.8 V LVCMOS,weak pullup,User IO
D17,GPIOT_RXP13,,,2B,3.3 V,,,User IO
D18,GPIOT_RXP14,,,2B,3.3 V,,,User IO
E1,MIPI1_TXDP4,,,3B,,,,
E2,MIPI1_TXDN3,,,3B,,,,
E3,MIPI1_RXDN4,mipi_rx_inst1.LN1N,,3B,,,,
E4,MIPI1_RXDN0,mipi_rx_inst1.LN3N,,3B,,,,
E5,MIPI0_RXDP0,,,3A,,,,
E6,MIPI0_RXDP3,,,3A,,,,
E7,MIPI0_RXDP4,,,3A,,,,
E8,MIPI0_RXDP1,,,3A,,,,
E9,GPIOR_120_PLLIN2,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/PLL_CLKIN
E10,VCCIO2A,,Power,2A,1.8 V,,,VCCIO Power
E11,GPIOT_RXP07_EXTFB0,,,2A,1.8 V,,,User IO/PLL_EXTFB
E12,GPIOT_RXP05,TP_GPIO6.RXP,Bidirectional,2A,1.8 V,1.8 V LVCMOS,,User IO
E13,GPIOT_RXP06,UART_FX3RX.RXP,Output,2A,1.8 V,1.8 V LVCMOS,,User IO
E14,GPIOT_RXN04,MUX_GPIO3.RXN,Bidirectional,2A,1.8 V,1.8 V LVCMOS,,User IO
E15,GPIOT_RXN03,MUX_GPIO2.RXN,Bidirectional,2A,1.8 V,1.8 V LVCMOS,,User IO
E16,GPIOT_RXP08_CLKP0,,,2A,1.8 V,,,User IO/PLL_CLKIN
E17,GPIOT_RXN13,,,2B,3.3 V,,,User IO
E18,GPIOT_RXN14,,,2B,3.3 V,,,User IO
F1,MIPI1_RXDN2,mipi_rx_inst1.LN0N,,3B,,,,
F2,GNDA_MIPI,,Power,,,,,MIPI Ground
F3,MIPI1_RXDP1,mipi_rx_inst1.CLKP,,3B,,,,
F4,GND,,Power,,,,,Ground
F5,MIPI0_RXDN2,,,3A,,,,
F6,MIPI0_RXDP2,,,3A,,,,
F7,MIPI0_RXDN4,,,3A,,,,
F8,VCCA_TR,,Power,3C_TR_BR,1.8 V,,,1.2 V PLL Power
F9,VCCA_TR,,Power,3C_TR_BR,1.8 V,,,1.2 V PLL Power
F10,GPIOR_121_MREFCLK,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/MIPI_CLKIN
F11,GPIOT_RXN07_EXTFB0,,,2A,1.8 V,,,User IO/PLL_EXTFB
F12,VCCA_BL,,Power,BL,,,,1.2 V PLL Power
F13,GPIOT_RXN06,UART_FX3TX.RXN,Input,2A,1.8 V,1.8 V LVCMOS,,User IO
F14,GPIOT_RXN12,,,2B,3.3 V,,,User IO
F15,VCCIO2A,,Power,2A,1.8 V,,,VCCIO Power
F16,GPIOT_RXN08_CLKN0,,,2A,1.8 V,,,User IO/PLL_CLKIN
F17,GND,,Power,,,,,Ground
F18,VCCIO2B,,Power,2B,3.3 V,,,VCCIO Power
G1,MIPI1_RXDP2,mipi_rx_inst1.LN0P,,3B,,,,
G2,MIPI1_RXDN3,mipi_rx_inst1.LN2P,,3B,,,,
G3,MIPI1_RXDN1,mipi_rx_inst1.CLKN,,3B,,,,
G4,DDR_DQ[15],DDR_CTRL.DQ[15],,3D,,,,
G5,GPIOR_125_CTRL12,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/GCTRL
G6,GPIOR_126_CLK15,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/GCLK
G7,GND,,Power,,,,,Ground
G8,VCC,,Power,,,,,1.2 V VCC Power
G9,GND,,Power,,,,,Ground
G10,VCC,,Power,,,,,1.2 V VCC Power
G11,GND,,Power,,,,,Ground
G12,VCC,,Power,,,,,1.2 V VCC Power
G13,GPIOL_75_CTRL5,,Input,1D_1E,3.3 V,,weak pullup,User IO/GCTRL
G14,GPIOT_RXP12,,,2B,3.3 V,,,User IO
G15,GPIOT_RXP11,LED_R.RXP,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
G16,GPIOT_RXP10,CS1.RXP,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
G17,GPIOT_RXP09,TP_GPIO7.RXP,Bidirectional,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
G18,GPIOT_RXN15,,,2B,3.3 V,,,User IO
H1,GND,,Power,,,,,Ground
H2,MIPI1_RXDP3,mipi_rx_inst1.LN2N,,3B,,,,
H3,VCC12A_MIPI1_RX,,Power,3B,,,,1.2 V MIPI RX Power
H4,DDR_DQ[13],DDR_CTRL.DQ[13],,3D,,,,
H5,DDR_DM[1],DDR_CTRL.DM[1],,3D,,,,
H6,GPIOR_130_CLK11,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/GCLK
H7,VCC,,Power,,,,,1.2 V VCC Power
H8,GND,,Power,,,,,Ground
H9,VCC,,Power,,,,,1.2 V VCC Power
H10,GND,,Power,,,,,Ground
H11,VCC,,Power,,,,,1.2 V VCC Power
H12,GND,,Power,,,,,Ground
H13,GPIOL_73_CLK7,,Input,1D_1E,3.3 V,,weak pullup,User IO/GCLK
H14,GPIOL_72_CLK6,,Input,1D_1E,3.3 V,,weak pullup,User IO/GCLK
H15,GPIOT_RXN11,LED_G.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
H16,GPIOT_RXN10,LED_B.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
H17,GPIOT_RXN09,TP_GPIO8.RXN,Bidirectional,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
H18,GPIOT_RXP15,,,2B,3.3 V,,,User IO
J1,DDR_DQ[8],DDR_CTRL.DQ[8],,3D,,,,
J2,VCCIO_DDR,,Power,3D,,,,VCCIO Power
J3,DDR_DQ[10],DDR_CTRL.DQ[10],,3D,,,,
J4,DDR_DQ[12],DDR_CTRL.DQ[12],,3D,,,,
J5,DDR_DQ[14],DDR_CTRL.DQ[14],,3D,,,,
J6,VCCIO3C_TR_BR,,Power,3C_TR_BR,1.8 V,,,VCCIO Power
J7,GND,,Power,,,,,Ground
J8,VCC,,Power,,,,,1.2 V VCC Power
J9,GND,,Power,,,,,Ground
J10,VCC,,Power,,,,,1.2 V VCC Power
J11,GND,,Power,,,,,Ground
J12,VCC,,Power,,,,,1.2 V VCC Power
J13,VCCIO1D_1E,,Power,1D_1E,3.3 V,,,VCCIO Power
J14,GPIOL_102_NSTATUS,,Input,1D_1E,3.3 V,,weak pullup,User IO/Configuration
J15,GPIOL_103_TEST_N,,Input,1D_1E,3.3 V,,weak pullup,User IO/Configuration
J16,GND,,Power,,,,,Ground
J17,GPIOL_108_CBSEL0,,Input,1D_1E,3.3 V,,weak pullup,User IO
J18,GPIOL_109_CBSEL1,,Input,1D_1E,3.3 V,,weak pullup,User IO
K1,DDR_DQ[6],DDR_CTRL.DQ[6],,3D,,,,
K2,DDR_DQ[9],DDR_CTRL.DQ[9],,3D,,,,
K3,DDR_DQ[11],DDR_CTRL.DQ[11],,3D,,,,
K4,VCCIO_DDR,,Power,3D,,,,VCCIO Power
K5,DDR_DQS[1],DDR_CTRL.DQS[1],,3D,,,,
K6,GPIOR_135_CTRL10,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/GCTRL
K7,VCC,,Power,,,,,1.2 V VCC Power
K8,GND,,Power,,,,,Ground
K9,VCC,,Power,,,,,1.2 V VCC Power
K10,GND,,Power,,,,,Ground
K11,VCC,,Power,,,,,1.2 V VCC Power
K12,GND,,Power,,,,,Ground
K13,VCCIO1B_1C,,Power,1B_1C,3.3 V,,,VCCIO Power
K14,GPIOL_14_CDI2,WP_N,Output,1B_1C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
K15,GPIOL_63_CTRL1,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
K16,GPIOL_62_CTRL0,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
K17,GPIOL_66_CLK0,sysclk,Input,1B_1C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
K18,GPIOL_16_CDI3,HOLD_N,Output,1B_1C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
L1,DDR_DM[0],DDR_CTRL.DM[0],,3D,,,,
L2,VCCIO_DDR,,Power,3D,,,,VCCIO Power
L3,DDR_DQ[5],DDR_CTRL.DQ[5],,3D,,,,
L4,DDR_DQ[7],DDR_CTRL.DQ[7],,3D,,,,
L5,DDR_DQS_N[1],DDR_CTRL.DQS_N[1],,3D,,,,
L6,VCCIO_DDR,,Power,3D,,,,VCCIO Power
L7,GND,,Power,,,,,Ground
L8,VCC,,Power,,,,,1.2 V VCC Power
L9,GND,,Power,,,,,Ground
L10,VCC,,Power,,,,,1.2 V VCC Power
L11,GND,,Power,,,,,Ground
L12,VCC,,Power,,,,,1.2 V VCC Power
L13,VCCIO1A,,Power,1A,3.3 V,,,VCCIO Power
L14,GPIOL_15_PLLIN0,,Input,1B_1C,3.3 V,,weak pullup,User IO/PLL_CLKIN
L15,GPIOL_17_EXTFB0,,Input,1B_1C,3.3 V,,weak pullup,User IO/PLL_EXTFB
L16,GPIOL_22_CDI6,,Input,1B_1C,3.3 V,,weak pullup,User IO
L17,GPIOL_24_CDI7,,Input,1B_1C,3.3 V,,weak pullup,User IO
L18,GPIOL_20_CDI5,,Input,1B_1C,3.3 V,,weak pullup,User IO
M1,GND,,Power,,,,,Ground
M2,DDR_DQ[3],DDR_CTRL.DQ[3],,3D,,,,
M3,DDR_DQS[0],DDR_CTRL.DQS[0],,3D,,,,
M4,DDR_DQ[4],DDR_CTRL.DQ[4],,3D,,,,
M5,GND,,Power,,,,,Ground
M6,DDR_VREF,DDR_CTRL.VREF,,3D,,,,
M7,VCC,,Power,,,,,1.2 V VCC Power
M8,GND,,Power,,,,,Ground
M9,VCC,,Power,,,,,1.2 V VCC Power
M10,GND,,Power,,,,,Ground
M11,VCC,,Power,,,,,1.2 V VCC Power
M12,GND,,Power,,,,,Ground
M13,GPIOL_08_CDI0,mosi,Bidirectional,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
M14,GPIOL_11_CBUS0,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
M15,GPIOL_05_CSO,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
M16,GPIOL_12_CBUS1,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
M17,GPIOL_13_CBUS2,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
M18,GPIOL_18_CDI4,,Input,1B_1C,3.3 V,,weak pullup,User IO
N1,DDR_DQ[2],DDR_CTRL.DQ[2],,3D,,,,
N2,DDR_DQ[1],DDR_CTRL.DQ[1],,3D,,,,
N3,DDR_DQS_N[0],DDR_CTRL.DQS_N[0],,3D,,,,
N4,DDR_DQ[0],DDR_CTRL.DQ[0],,3D,,,,
N5,DDR_ZQ,DDR_CTRL.ZQ,,3D,,,,
N6,DDR_CS_N,DDR_CTRL.CS_N,,3D,,,,
N7,DDR_CKE,DDR_CTRL.CKE,,3D,,,,
N8,VCCA_BR,,Power,3C_TR_BR,1.8 V,,,1.2 V PLL Power
N9,GPIOB_TXP16_CDI13,fx3_data[8].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
N10,GPIOB_TXP14_EXTFB1_CDI17,fx3_data[14].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_EXTFB
N11,GPIOB_TXP13_CDI19,fx3_data[3].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
N12,GPIOB_TXN12,fx3_data[0].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
N13,GPIOL_01_CCK,sclk,Output,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
N14,GPIOL_09_CDI1,miso,Input,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
N15,GPIOL_04_CSI,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
N16,GND,,Power,,,,,Ground
N17,CRESET_N,,Input,1A,3.3 V,,,Configuration
N18,CDONE,,Output,1A,3.3 V,,,Configuration
P1,DDR_CK,DDR_CTRL.CK,,3D,,,,
P2,VCCIO_DDR,,Power,3D,,,,VCCIO Power
P3,DDR_A[0],DDR_CTRL.A[0],,3D,,,,
P4,DDR_A[1],DDR_CTRL.A[1],,3D,,,,
P5,VCCIO_DDR,,Power,3D,,,,VCCIO Power
P6,DDR_A[3],DDR_CTRL.A[3],,3D,,,,
P7,GND,,Power,,,,,Ground
P8,VCCA_BR,,Power,3C_TR_BR,1.8 V,,,1.2 V PLL Power
P9,GPIOB_TXN16_CDI12,fx3_data[9].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
P10,GPIOB_TXN14_CDI16,fx3_data[6].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_EXTFB
P11,GPIOB_TXN13_CDI18,fx3_data[7].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
P12,GPIOB_TXP12,fx3_ctl7.TXP,Input,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
P13,GPIOB_TXP09_CLK0,fx3_data[17].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
P14,GPIOB_TXP07_CDI23,fx3_data[16].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
P15,GPIOL_00_SS_N,CS0,Output,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
P16,TMS,,Input,1A,3.3 V,,,Configuration
P17,TDO,,Output,1A,3.3 V,,,Configuration
P18,GPIOB_TXN02,fx3_data[21].TXN,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
R1,DDR_CK_N,DDR_CTRL.CK_N,,3D,,,,
R2,GND,,Power,,,,,Ground
R3,DDR_A[5],DDR_CTRL.A[5],,3D,,,,
R4,GND,,Power,,,,,Ground
R5,DDR_BA[2],DDR_CTRL.BA[2],,3D,,,,
R6,DDR_A[2],DDR_CTRL.A[2],,3D,,,,
R7,DDR_A[6],DDR_CTRL.A[6],,3D,,,,
R8,GPIOR_140_PLLIN2,,Input,3C_TR_BR,1.8 V,,weak pullup,User IO/PLL_CLKIN
R9,GPIOB_TXN19,fx3_data[13].TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
