Module Resource Usage Distribution Estimates
Generated at: Aug 28, 2026 10:46:04

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
T35_TOP:T35_TOP                                             	    3443(9)	     194(0)	   5277(44)	   26(16)	    12(0)	
+CmosControl_inst:CmosControl                               	     308(0)	      90(0)	     905(0)	     0(0)	     0(0)	
 +SlaveControl_2022_inst:SlaveControl_2022                  	   254(254)	     90(90)	   794(794)	     0(0)	     0(0)	
 +Trigout_set_inst:Trigout_set                              	     14(14)	       0(0)	     17(17)	     0(0)	     0(0)	
 +Trigin_set_inst:Trigin_set                                	     31(31)	       0(0)	     89(89)	     0(0)	     0(0)	
 +CmosCtrl_Switch_inst:CmosCtrl_Switch                      	       9(9)	       0(0)	       5(5)	     0(0)	     0(0)	
+mipicsi_rxctrl_inst:mipicsi_rxctrl                         	   352(352)	       0(0)	   558(558)	     0(0)	     0(0)	
+data_process_inst:data_process                             	   518(518)	       0(0)	   610(598)	     0(0)	    12(0)	
 +unsigned_reg_mult_instA:unsigned_reg_mult                 	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_instB:unsigned_reg_mult                 	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_instC:unsigned_reg_mult                 	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_instD:unsigned_reg_mult                 	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst0:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst1:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst2:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst3:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst4:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst5:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst6:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
 +unsigned_reg_mult_inst7:unsigned_reg_mult(WIDTHA=8)       	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	
+Ddr3Mig_Top_inst:Ddr3Mig_Top                               	     535(0)	      63(0)	     692(0)	     8(0)	     0(0)	
 +u_ddr_reset_control:ddr_reset_control                     	      24(0)	       0(0)	      29(0)	     0(0)	     0(0)	
