Altium Designer Pick and Place Locations
D:\WORKSPACE\DOCUMENTS\PCB\EFINIX_T35\T35_V2.1\T35_V2.1-PRJ\Project Outputs for T35_V2\Pick Place for T35_V2.1.txt

========================================================================================================================
File Design Information:

Date:       10/02/23
Time:       15:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                                   Center-X(mm) Center-Y(mm) Rotation Description               
SJ2        SolderableJumper*    TopLayer    SJ                                          53.3996      2.9760       0        ""                        
SJ1        SolderableJumper*    TopLayer    SJ                                          49.5300      2.9723       0        ""                        
U7         TPS628501DRLR        TopLayer    SOT583                                      18.2070      22.6083      0        µçÔ´Ð¾Æ¬                      
U8         TPS79325DBVR         TopLayer    SOT-23-5                                    21.7527      22.4987      270      µçÔ´Ð¾Æ¬                      
R55        91K                  TopLayer    0201RS                                      16.3322      21.2598      90       ÌùÆ¬µç×è                      
R56        30K                  TopLayer    0201RS                                      17.9070      20.7598      0        ÌùÆ¬µç×è                      
R53        10K                  BottomLayer 0201RS                                      17.2212      22.9616      180      ÌùÆ¬µç×è                      
R54        20K                  TopLayer    0201RS                                      19.2822      20.7598      0        ÌùÆ¬µç×è                      
L5         0.47uH               BottomLayer 201610                                      20.2946      20.8170      270      ¹¦ÂÊµç¸Ð                      
C103       10pF/6.3V            TopLayer    0201CS                                      18.4610      19.8628      180      ÌùÆ¬µçÈÝ                      
C29        1uF/6.3V             TopLayer    0201CS                                      21.9761      25.4045      180      ÌùÆ¬µçÈÝ                      
C102       10nF/16V             TopLayer    0201CS                                      20.8205      19.4570      270      ÌùÆ¬µçÈÝ                      
C32        10uF/6.3V            TopLayer    0402CS                                      18.0515      24.6126      0        ÌùÆ¬µçÈÝ                      
T1         ""                   TopLayer    TP-S                                        8.4582       22.8854      0        ²âÊÔµã                       
T36        ""                   BottomLayer TP-S                                        56.4388      11.7602      270      ²âÊÔµã                       
T35        ""                   BottomLayer TP-S                                        53.1470      9.3472       270      ²âÊÔµã                       
T34        ""                   BottomLayer TP-S                                        56.4134      12.7254      270      ²âÊÔµã                       
T33        ""                   BottomLayer TP-S                                        54.7319      9.8946       270      ²âÊÔµã                       
T32        ""                   BottomLayer TP-S                                        54.7370      12.0650      270      ²âÊÔµã                       
T31        ""                   BottomLayer TP-S                                        51.7398      9.3472       270      ²âÊÔµã                       
T30        ""                   BottomLayer TP-S                                        54.7319      13.1797      270      ²âÊÔµã                       
T29        ""                   BottomLayer TP-S                                        56.4134      10.7442      270      ²âÊÔµã                       
T28        ""                   BottomLayer TP-S                                        53.1470      13.0537      270      ²âÊÔµã                       
T27        ""                   BottomLayer TP-S                                        51.7398      11.2005      270      ²âÊÔµã                       
T26        ""                   BottomLayer TP-S                                        56.4642      13.7160      270      ²âÊÔµã                       
T25        ""                   BottomLayer TP-S                                        54.7319      10.9896      270      ²âÊÔµã                       
T24        ""                   BottomLayer TP-S                                        51.7398      13.0537      270      ²âÊÔµã                       
T23        ""                   BottomLayer TP-S                                        53.1470      11.2005      270      ²âÊÔµã                       
T22        ""                   BottomLayer TP-S                                        54.7319      14.2748      270      ²âÊÔµã                       
R78        "80.6¦¸ 1%"           BottomLayer 0402RS                                      41.9535      18.8674      0        ÌùÆ¬µç×è                      
R100       100                  TopLayer    0201RS                                      12.7028      1.8541       180      ÌùÆ¬µç×è                      
